"","standardised_crepon_profit","crepon_treatment"
"157",702.909155809388,0
"158",548.90237372836,0
"159",-28.1099411029805,0
"160",24.0942352311262,0
"161",43.8158129573443,0
"162",395.234695698733,0
"163",-47.0729966089595,0
"164",3.12332678922006,0
"165",1085.7040870962,0
"166",256.210958415135,0
"167",72.1042298768517,0
"168",6.60360521149384,1
"169",63.4392289844726,1
"170",-146.617883276816,1
"171",781.748616812422,1
"172",-713.635552382652,1
"173",-399.696591111904,1
"174",-239.782259503837,1
"175",0,1
"176",-242.298768516866,1
"177",733.803319650188,1
"178",447.215777262181,1
"179",-0.446189541317152,1
"180",118.418704265572,1
"181",91.3349991076209,1
"182",592.628948777441,1
"183",-48.2063180439051,1
"184",-1.96323398179547,1
"185",101.641977512047,1
"186",31.322505800464,1
"187",33.8122434410137,1
"188",47.0283776548278,1
"189",300.285561306443,1
"190",5264.50116009281,1
"191",2.32018561484919,0
"192",118.593720370226,0
"193",0.214170979832233,0
"194",16.8124219168303,0
"195",92.3166160985187,0
"196",36.8552561127967,0
"197",32.1034072148849,0
"198",136.783865786186,0
"199",3392.76280563984,0
"200",100.910627537703,0
"201",14.697483490987,0
"202",250.535427449581,0
"203",90.0410494378012,0
"204",8.00910226664287,0
"205",-2.94417994545333,0
"206",283.801123561039,0
"207",-82.2773514188827,0
"208",1117.11583080493,0
"209",67.7548840325495,0
"210",115.757758817821,0
"211",-13.3856862395145,0
"212",63.2696769587721,0
"213",64.3673032304123,0
"214",-38.9523469569873,0
"215",60.7263965732643,0
"216",108.156344815278,1
"217",-23.4517222916295,1
"218",322.920756737462,1
"219",243.396394788506,1
"220",107.594145993218,1
"221",47.1760733647153,1
"222",116.375156166339,1
"223",-37.2568266999822,1
"224",84.5886132429056,1
"225",234.07584385597,1
"226",529.510976262716,1
"227",202.311261824023,1
"228",151.302873460646,1
"229",117.722648581117,1
"230",28.1277886846332,1
"231",43.1911475995003,1
"232",371.443869355702,1
"233",134.874174549349,1
"234",-98.6992529113868,1
"235",10.0616416951577,1
"236",146.787435302517,1
"237",28.4490451543816,1
"238",0.892379082634303,1
"239",255.199119054524,1
"240",39.2133678386579,1
"241",2.63251829377119,1
"242",0,1
"243",33.9104051401035,1
"244",305.05086560771,1
"245",126.762448688203,1
"246",108.914867035517,1
"247",-46.04676066393,1
"248",1317.59771550955,1
"249",-376.316259146886,1
"250",35.873639121899,1
"251",-20.9396751740139,1
"252",167.767267535249,1
"253",276.637515616634,1
"254",101.731215420311,0
"255",-64.9651972157773,0
