"","standardised_karlan_profit","karlan_treatment"
"233",1231.49956355388,1
"234",321.260755709707,1
"235",829.923618916743,0
"236",147.244513033616,1
"237",139.212994140873,0
"238",281.103161245994,1
"239",160.630377854854,0
"240",66.929324106189,1
"241",507.056559428488,1
"242",100.393986159283,1
"243",2677.17296424756,0
"244",1124.41264498398,1
"245",80.3151889274268,1
"246",522.048728028274,1
"247",120.47278339114,1
"248",267.717296424756,1
"249",275.213380724649,1
"250",40.1575944637134,1
"251",200.787972318567,1
"252",66.929324106189,1
"253",80.3151889274268,1
"254",267.717296424756,1
"255",13.3858648212378,1
"256",160.630377854854,1
"257",0,1
"258",331.969447566697,1
"259",-65.5907376240652,1
"260",267.717296424756,1
"261",4015.75944637134,1
"262",82.9923618916743,1
"263",481.891133564561,1
"264",107.086918569902,1
"265",109.2286569413,1
"266",53.5434592849512,1
"267",1137.79850980521,1
"268",1077.56211810964,1
"269",80.3151889274268,1
"270",35.8205742616323,1
"271",803.151889274268,1
"272",1606.30377854854,1
"273",642.521511419414,1
"274",147.244513033616,1
"275",401.575944637134,1
"276",494.741563792949,0
"277",856.695348559219,1
"278",661.261722169147,1
"279",227.559701961043,1
"280",198.110799354319,1
"281",342.678139423688,1
"282",0,1
"283",412.820071086974,0
"284",535.434592849512,1
"285",42.834767427961,1
"286",93.7010537486646,0
"287",535.434592849512,1
"288",9.37010537486646,0
"289",174.016242676091,1
"290",428.34767427961,1
"291",305.197717924222,1
"292",0,1
"293",107.086918569902,1
"294",161.968964336977,1
"295",2141.73837139805,1
"296",8.48663829666476,1
"297",401.575944637134,1
"298",3654.34109619792,1
"299",7014.19316632861,0
"300",125.827129319635,1
"301",1223.46804466113,1
"302",0,1
"303",214.173837139805,0
"304",294.489026067232,1
"305",88.3467078201695,1
"306",267.717296424756,0
"307",321.260755709707,0
"308",669.29324106189,1
"309",313.229236816964,0
"310",0,1
"311",803.151889274268,1
"312",113.779850980521,0
"313",0,0
"314",93.7010537486646,1
"315",0,1
"316",100.393986159283,1
"317",0,0
"318",696.064970704365,0
"319",0,0
"320",160.630377854854,1
"321",77.6380159631792,0
"322",0,1
"323",32.1260755709707,1
"324",629.135646598176,1
"325",-93.7010537486646,1
"326",0,1
"327",107.086918569902,1
"328",26.7717296424756,1
"329",0,1
"330",0,1
"331",62.4316735262531,1
"332",80.3151889274268,1
"333",358.741177209173,1
"334",40.1575944637134,0
"335",53.5434592849512,0
"336",0,1
"337",0,1
"338",42.834767427961,1
"339",401.575944637134,1
"340",53.5434592849512,1
"341",966.994874686219,1
"342",120.47278339114,1
"343",66.929324106189,1
"344",321.260755709707,0
"345",330.229285139936,1
"346",1003.93986159283,0
"347",160.630377854854,1
"348",1204.7278339114,1
"349",562.206322491988,0
"350",262.362950496261,0
"351",240.94556678228,1
"352",401.575944637134,1
"353",0,1
"354",40.1575944637134,1
"355",42.834767427961,1
"356",80.3151889274268,1
"357",110.08535228986,1
"358",649.589248045028,1
