"","standardised_attanasio_profit","attanasio_treatment"
"767",-7.98097156525962,1
"768",-16.4490446814506,1
"769",-7.50885775435694,1
"770",0,1
"771",0,1
"772",-18.6597363356774,1
"773",0,1
"774",-6.04005923154859,1
"775",0,1
"776",0,0
"777",0,0
"778",0,0
"779",0,0
"780",-6.05504697157725,0
"781",0,0
"782",0,0
"783",0,0
"784",0,0
"785",0,0
"786",-4.61622392882622,0
"787",0,0
"788",0,0
"789",-6.36978951217904,0
"790",0,0
"791",0,0
"792",0,0
"793",0,0
"794",0,0
"795",0,0
"796",0,0
"797",0,0
"798",0,0
"799",0,0
"800",0,0
"801",-9.20546992560086,0
"802",0,0
"803",0,0
"804",0,0
"805",0,0
"806",0,0
"807",0,0
"808",0,0
"809",0,0
"810",-5.65637308681498,0
"811",0,0
"812",0,0
"813",-0.149877400286566,0
"814",0,0
"815",-2.88401587501424,0
"816",0,0
"817",0,0
"818",0,0
"819",0.58826879612477,1
"820",0,1
"821",0,1
"822",0,1
"823",0,1
"824",0,1
"825",0,1
"826",0,1
"827",0,1
"828",0,1
"829",0,1
"830",-2.74275642524415,1
"831",0,1
"832",0,1
"833",0,1
"834",0,1
"835",0,1
"836",0,1
"837",0,1
"838",0,1
"839",0,1
"840",0,1
"841",0,1
"842",0,1
"843",0,1
"844",0,1
"845",0,1
"846",0,1
"847",-3.48464955666265,1
"848",0,1
"849",0,1
"850",0,1
"851",0,1
"852",0,1
"853",0,1
"854",0,1
"855",0,1
"856",-14.0135369267939,1
"857",-7.11917651361187,1
"858",0,1
"859",0,1
"860",-3.31978441634743,1
"861",0,1
"862",0,1
"863",0,1
"864",0,1
"865",-8.54301181633424,1
"866",0,1
"867",0,1
"868",-6.81942171303873,1
"869",-2.39803840458505,1
"870",0,1
"871",0,1
"872",0,1
"873",0,1
"874",0,1
"875",0,1
"876",0,1
"877",0,1
"878",0,1
"879",0,1
"880",-4.72113810902682,1
"881",0,1
"882",5.20823965995815,1
"883",0,1
"884",0,1
"885",0,1
"886",-2.1732223041552,1
"887",0,1
"888",0,1
"889",0,1
"890",0,1
"891",0,1
"892",-12.0141724069711,1
"893",0,1
"894",0,1
"895",0,1
"896",0,0
"897",0,0
"898",0,0
"899",0,0
"900",0,0
"901",0,0
"902",0,0
"903",0,0
"904",0,0
"905",0,0
"906",0,0
"907",0,0
"908",0,0
"909",0,0
"910",0,0
"911",0,0
"912",0,0
"913",0,0
"914",0,0
"915",0,0
"916",0,0
"917",0,0
"918",0,1
"919",0,1
"920",0,1
"921",0,1
"922",0,1
"923",0,1
"924",0,1
"925",0,1
"926",0,1
"927",0,1
"928",0,1
"929",0,1
"930",0,1
"931",0,1
"932",0,1
"933",0,1
"934",0,1
"935",0,1
"936",0,1
"937",0,1
"938",0,1
"939",0,1
"940",0,1
"941",0,1
"942",0,1
"943",0,1
"944",-4.46634652853965,1
"945",0,1
"946",-15.2125561290864,1
"947",-16.5614527316655,1
"948",0,1
"949",1.7235901032955,1
"950",2.24816100429848,1
"951",0,1
"952",0,1
"953",0,1
"954",0,1
"955",0,1
"956",0,1
"957",0,1
"958",0,1
"959",0,1
"960",0,1
"961",0,1
