"","standardised_banerjee_profit","banerjee_treatment"
"626",106.173862448517,1
"627",0,1
"628",0,1
"629",-342.356536058484,1
"630",0,1
"631",0,1
"632",0,1
"633",0,1
"634",0,1
"635",0,1
"636",34.0623085242998,1
"637",0,1
"638",0,1
"639",0,1
"640",0,1
"641",0,1
"642",0,1
"643",0,1
"644",0,1
"645",0,1
"646",0,1
"647",0,1
"648",7.88720121046128,1
"649",0,1
"650",0,1
"651",0,1
"652",0,1
"653",116.141204637562,1
"654",0,1
"655",78.0052866968698,1
"656",0,1
"657",0,1
"658",0,1
"659",-39.2626609707578,1
"660",0,1
"661",0,1
"662",0,1
"663",0,1
"664",0,1
"665",0,1
"666",0,1
"667",3.16354773826194,1
"668",0,1
"669",0,1
"670",0,1
"671",0,1
"672",0,1
"673",0,1
"674",148.210044724053,1
"675",0,1
"676",0,1
"677",0,1
"678",50.9201177049011,1
"679",0,1
"680",0,1
"681",0,1
"682",0,1
"683",0,1
"684",0,1
"685",0,1
"686",0,1
"687",0,1
"688",0,0
"689",0,0
"690",0,0
"691",0,0
"692",0,0
"693",-2110.04300515033,0
"694",0,0
"695",11.9174743564662,0
"696",606.707785420098,0
"697",0,0
"698",0,0
"699",0,0
"700",0,0
"701",0,0
"702",136.075889015651,0
"703",0,0
"704",0,0
"705",0,0
"706",23.6182673609967,0
"707",0,0
"708",-7.58384731775123,0
"709",0,0
"710",0,0
"711",0,0
"712",158.394068265033,1
"713",0,1
"714",0,1
"715",0,1
"716",0,1
"717",0,1
"718",0,1
"719",0,1
"720",0,1
"721",0,1
"722",21.6681351935749,0
"723",0,1
"724",0,1
"725",0,1
"726",112.67430300659,1
"727",0,1
"728",0,1
"729",0,1
"730",0,1
"731",0,1
"732",0,1
"733",-242.683114168039,1
"734",0,1
"735",0,1
"736",0,1
"737",0,1
"738",0,1
"739",0,1
"740",0,1
"741",0,1
"742",0,1
"743",0,1
"744",0,1
"745",0,1
"746",0,0
"747",0,0
"748",0,0
"749",0,0
"750",0,0
"751",0,0
"752",2.16681351935749,0
"753",0,0
"754",0,0
"755",-130.00881116145,0
"756",0,0
"757",31.6354773826194,0
"758",0,0
"759",0,0
"760",73.6716596581548,0
"761",0,0
"762",205.847284338962,0
"763",0,0
"764",0,0
"765",-1.51676946355025,0
"766",0,0
"767",0,1
"768",0,1
"769",0,1
"770",6.50044055807248,1
"771",50.5300912714167,1
"772",0,1
"773",0,1
"774",0,1
"775",0,1
"776",0,1
"777",0,1
"778",0,1
"779",0,1
"780",0,1
"781",0,1
"782",30.5087343525535,1
"783",0,1
"784",0,1
"785",0,1
"786",0,1
"787",0,1
"788",0,1
"789",0,1
"790",0,1
"791",0,1
"792",0,1
"793",0,1
"794",0,1
"795",0,1
"796",0,1
"797",7.4321703713962,1
"798",0,1
"799",0,1
"800",0,1
"801",0,1
"802",0,1
